source_row_id,split
0,train
1,train
2,train
3,validation
4,train
5,train
6,test
7,train
8,train
9,train
10,train
11,train
12,train
13,test
14,train
15,train
17,train
18,test
20,train
22,train
23,train
24,train
26,validation
28,validation
31,train
33,validation
34,train
35,train
36,train
37,train
38,test
39,test
40,train
41,validation
42,train
43,test
44,train
46,train
47,train
48,test
49,train
50,validation
53,train
54,train
55,train
56,train
57,train
58,train
60,train
61,train
65,test
66,test
67,validation
68,train
71,test
72,train
73,train
74,validation
75,test
76,train
77,train
78,train
79,train
80,train
81,train
82,train
84,train
85,train
86,train
87,train
90,train
91,train
92,train
93,train
94,test
96,train
97,train
99,test
100,train
101,train
102,train
103,validation
104,train
105,train
106,train
107,train
108,train
110,train
112,validation
113,train
114,test
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,validation
126,train
128,validation
129,train
130,train
131,train
132,validation
133,train
134,train
135,validation
136,train
137,train
139,train
140,train
141,train
143,train
144,train
145,train
146,test
147,test
148,train
149,validation
151,train
153,train
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
167,train
168,train
169,train
171,train
172,test
173,train
174,validation
176,train
177,train
178,train
179,train
180,train
182,train
183,validation
184,train
185,train
187,test
188,test
189,train
190,test
192,train
193,train
194,train
195,train
196,train
197,train
198,validation
200,train
201,train
202,train
203,train
204,test
205,train
206,train
207,train
208,train
209,train
210,validation
211,train
212,train
213,train
214,train
216,train
217,test
218,train
219,test
220,train
221,test
222,train
223,train
224,test
225,train
226,train
227,validation
228,train
229,train
230,train
231,train
232,test
233,train
234,train
235,train
236,train
237,train
238,train
239,test
242,test
243,train
244,train
245,train
246,validation
247,train
248,train
249,train
251,train
252,train
254,train
255,train
256,train
258,train
259,train
260,train
261,validation
262,train
263,train
264,train
265,train
266,train
267,train
268,validation
269,train
270,train
271,train
272,test
273,train
274,train
275,test
276,train
277,test
279,validation
280,validation
281,validation
282,test
283,validation
284,train
285,train
287,validation
288,train
289,validation
290,validation
291,validation
293,train
294,train
295,train
296,train
297,train
298,train
299,train
300,train
301,validation
302,train
303,train
304,train
306,train
307,validation
308,train
309,test
310,train
311,train
